# r wet (m), SS (bulk), SS (film)
5.0000e-08,-6.1251e+00,-7.2007e+00
5.1898e-08,-5.3334e+00,-6.3696e+00
5.3868e-08,-4.6307e+00,-5.6290e+00
5.5914e-08,-4.0074e+00,-4.9692e+00
5.8036e-08,-3.4548e+00,-4.3815e+00
6.0240e-08,-2.9655e+00,-3.8582e+00
6.2527e-08,-2.5324e+00,-3.3925e+00
6.4900e-08,-2.1495e+00,-2.9781e+00
6.7364e-08,-1.8113e+00,-2.6096e+00
6.9922e-08,-1.5129e+00,-2.2820e+00
7.2576e-08,-1.2500e+00,-1.9909e+00
7.5332e-08,-1.0186e+00,-1.7325e+00
7.8191e-08,-8.1537e-01,-1.5031e+00
8.1160e-08,-6.3711e-01,-1.2997e+00
8.4241e-08,-4.8106e-01,-1.1194e+00
8.7439e-08,-3.4477e-01,-9.5980e-01
9.0759e-08,-2.2601e-01,-8.1855e-01
9.4204e-08,-1.2283e-01,-6.9369e-01
9.7781e-08,-3.3454e-02,-5.8344e-01
1.0149e-07,4.3673e-02,-4.8619e-01
1.0535e-07,1.0995e-01,-4.0053e-01
1.0935e-07,1.6663e-01,-3.2519e-01
1.1350e-07,2.1481e-01,-2.5902e-01
1.1781e-07,2.5549e-01,-2.0100e-01
1.2228e-07,2.8955e-01,-1.5025e-01
1.2692e-07,3.1777e-01,-1.0594e-01
1.3174e-07,3.4086e-01,-6.7358e-02
1.3674e-07,3.5943e-01,-3.3857e-02
1.4193e-07,3.7404e-01,-4.8638e-03
1.4732e-07,3.8517e-01,2.1735e-02
1.5291e-07,3.9328e-01,6.8420e-02
1.5872e-07,3.9874e-01,1.0836e-01
1.6474e-07,4.0191e-01,1.4234e-01
1.7100e-07,4.0308e-01,1.7105e-01
1.7749e-07,4.0253e-01,1.9512e-01
1.8423e-07,4.0050e-01,2.1509e-01
1.9122e-07,3.9720e-01,2.3146e-01
1.9848e-07,3.9282e-01,2.4466e-01
2.0602e-07,3.8752e-01,2.5508e-01
2.1384e-07,3.8147e-01,2.6306e-01
2.2196e-07,3.7477e-01,2.6892e-01
2.3038e-07,3.6755e-01,2.7293e-01
2.3913e-07,3.5991e-01,2.7532e-01
2.4821e-07,3.5194e-01,2.7631e-01
2.5763e-07,3.4371e-01,2.7609e-01
2.6741e-07,3.3529e-01,2.7484e-01
2.7756e-07,3.2673e-01,2.7269e-01
2.8810e-07,3.1810e-01,2.6979e-01
2.9904e-07,3.0943e-01,2.6624e-01
3.1039e-07,3.0077e-01,2.6215e-01
3.2217e-07,2.9214e-01,2.5761e-01
3.3441e-07,2.8358e-01,2.5271e-01
3.4710e-07,2.7510e-01,2.4750e-01
3.6028e-07,2.6674e-01,2.4206e-01
3.7396e-07,2.5850e-01,2.3644e-01
3.8815e-07,2.5040e-01,2.3068e-01
4.0289e-07,2.4246e-01,2.2482e-01
4.1818e-07,2.3467e-01,2.1891e-01
4.3406e-07,2.2706e-01,2.1296e-01
4.5054e-07,2.1962e-01,2.0702e-01
4.6764e-07,2.1237e-01,2.0110e-01
4.8540e-07,2.0529e-01,1.9522e-01
5.0383e-07,1.9840e-01,1.8939e-01
5.2295e-07,1.9170e-01,1.8365e-01
5.4281e-07,1.8519e-01,1.7798e-01
5.6341e-07,1.7886e-01,1.7242e-01
5.8480e-07,1.7271e-01,1.6695e-01
6.0701e-07,1.6675e-01,1.6160e-01
6.3005e-07,1.6097e-01,1.5636e-01
6.5397e-07,1.5536e-01,1.5125e-01
6.7880e-07,1.4994e-01,1.4625e-01
7.0457e-07,1.4468e-01,1.4139e-01
7.3132e-07,1.3959e-01,1.3665e-01
7.5908e-07,1.3467e-01,1.3203e-01
7.8790e-07,1.2990e-01,1.2755e-01
8.1781e-07,1.2530e-01,1.2319e-01
8.4886e-07,1.2084e-01,1.1896e-01
8.8108e-07,1.1654e-01,1.1486e-01
9.1453e-07,1.1238e-01,1.1088e-01
9.4925e-07,1.0836e-01,1.0702e-01
9.8529e-07,1.0448e-01,1.0328e-01
1.0227e-06,1.0074e-01,9.9660e-02
1.0615e-06,9.7117e-02,9.6155e-02
1.1018e-06,9.3624e-02,9.2764e-02
1.1437e-06,9.0253e-02,8.9484e-02
1.1871e-06,8.6999e-02,8.6312e-02
1.2321e-06,8.3860e-02,8.3245e-02
1.2789e-06,8.0830e-02,8.0281e-02
1.3275e-06,7.7908e-02,7.7416e-02
1.3779e-06,7.5089e-02,7.4649e-02
1.4302e-06,7.2369e-02,7.1976e-02
1.4845e-06,6.9747e-02,6.9395e-02
1.5408e-06,6.7217e-02,6.6903e-02
1.5993e-06,6.4778e-02,6.4497e-02
1.6600e-06,6.2426e-02,6.2175e-02
1.7231e-06,6.0158e-02,5.9934e-02
1.7885e-06,5.7972e-02,5.7771e-02
1.8564e-06,5.5864e-02,5.5684e-02
1.9268e-06,5.3832e-02,5.3671e-02
2.0000e-06,5.1873e-02,5.1729e-02
