# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
0.0000,nan,nan,0.7763,0.7763
0.2000,-0.9918,-0.9918,0.7763,0.7763
0.4000,-0.9809,-0.9809,0.7763,0.7763
0.6000,-0.9700,-0.9700,0.7763,0.7763
0.8000,-0.9591,-0.9591,0.7763,0.7763
1.0000,-0.9482,-0.9482,0.7763,0.7763
1.2000,-0.9373,-0.9373,0.7763,0.7763
1.4000,-0.9264,-0.9264,0.7763,0.7763
1.6000,-0.9155,-0.9155,0.7762,0.7762
1.8000,-0.9046,-0.9046,0.7762,0.7762
2.0000,-0.8937,-0.8937,0.7762,0.7762
2.2000,-0.8828,-0.8828,0.7762,0.7762
2.4000,-0.8719,-0.8719,0.7762,0.7762
2.6000,-0.8610,-0.8610,0.7762,0.7762
2.8000,-0.8500,-0.8501,0.7762,0.7762
3.0000,-0.8391,-0.8391,0.7761,0.7761
3.2000,-0.8282,-0.8282,0.7761,0.7761
3.4000,-0.8173,-0.8173,0.7761,0.7761
3.6000,-0.8064,-0.8064,0.7761,0.7761
3.8000,-0.7955,-0.7955,0.7761,0.7761
4.0000,-0.7845,-0.7845,0.7761,0.7761
4.2000,-0.7736,-0.7736,0.7761,0.7761
4.4000,-0.7627,-0.7627,0.7760,0.7760
4.6000,-0.7518,-0.7518,0.7760,0.7760
4.8000,-0.7408,-0.7408,0.7760,0.7760
5.0000,-0.7299,-0.7299,0.7760,0.7760
5.2000,-0.7190,-0.7190,0.7760,1.5520
5.4000,-0.7080,-0.7080,0.7760,1.5520
5.6000,-0.6971,-0.6971,0.7760,1.5519
5.8000,-0.6862,-0.6862,0.7760,1.5519
6.0000,-0.6752,-0.6752,0.7759,1.5519
6.2000,-0.6643,-0.6643,0.7759,1.5519
6.4000,-0.6533,-0.6534,0.7759,1.5518
6.6000,-0.6424,-0.6424,0.7759,1.5518
6.8000,-0.6315,-0.6315,0.7759,1.5518
7.0000,-0.6205,-0.6205,0.7759,1.5517
7.2000,-0.6096,-0.6096,1.5517,1.5517
7.4000,-0.5986,-0.5987,1.5517,1.5517
7.6000,-0.5877,-0.5877,1.5517,1.5517
7.8000,-0.5767,-0.5768,1.5516,1.5516
8.0000,-0.5658,-0.5658,1.5516,1.5516
8.2000,-0.5548,-0.5549,1.5516,1.5516
8.4000,-0.5439,-0.5439,1.5516,1.5516
8.6000,-0.5329,-0.5330,1.5515,1.5515
8.8000,-0.5220,-0.5220,1.5515,1.5515
9.0000,-0.5110,-0.5111,1.5515,2.3272
9.2000,-0.5001,-0.5001,1.5514,2.3272
9.4000,-0.4891,-0.4891,1.5514,2.3271
9.6000,-0.4781,-0.4782,1.5514,2.3271
9.8000,-0.4672,-0.4672,1.5514,2.3270
10.0000,-0.4562,-0.4563,1.5513,2.3270
10.2000,-0.4453,-0.4453,1.5513,2.3270
10.4000,-0.4343,-0.4343,1.5513,2.3269
10.6000,-0.4233,-0.4234,1.5513,2.3269
10.8000,-0.4124,-0.4124,1.5512,2.3268
11.0000,-0.4014,-0.4014,2.3268,3.1024
11.2000,-0.3904,-0.3905,2.3268,3.1024
11.4000,-0.3794,-0.3795,2.3267,3.1023
11.6000,-0.3685,-0.3685,2.3267,3.1022
11.8000,-0.3575,-0.3576,2.3266,3.1022
12.0000,-0.3465,-0.3466,2.3266,3.1021
12.2000,-0.3355,-0.3356,2.3266,3.1021
12.4000,-0.3246,-0.3247,2.3265,3.8775
12.6000,-0.3136,-0.3137,2.3265,3.8775
12.8000,-0.3026,-0.3027,2.3264,3.8774
13.0000,-0.2916,-0.2917,2.3264,3.8773
13.2000,-0.2806,-0.2807,3.1018,3.8773
13.4000,-0.2697,-0.2698,3.1018,4.6526
13.6000,-0.2587,-0.2588,3.1017,4.6525
13.8000,-0.2477,-0.2478,3.1016,4.6525
14.0000,-0.2367,-0.2368,3.1016,5.4278
14.2000,-0.2257,-0.2259,3.1015,5.4277
14.4000,-0.2147,-0.2149,3.8769,5.4276
14.6000,-0.2037,-0.2039,3.8768,6.2029
14.8000,-0.1927,-0.1929,3.8767,6.2027
15.0000,-0.1818,-0.1819,3.8766,6.9780
