# r_wet (m), Nc (bulk), Nc (film)
4.0000e-06,0.0000e+00,0.0000e+00
4.0345e-06,0.0000e+00,0.0000e+00
4.0693e-06,0.0000e+00,0.0000e+00
4.1043e-06,0.0000e+00,0.0000e+00
4.1397e-06,0.0000e+00,0.0000e+00
4.1754e-06,0.0000e+00,0.0000e+00
4.2114e-06,0.0000e+00,0.0000e+00
4.2477e-06,0.0000e+00,0.0000e+00
4.2843e-06,0.0000e+00,0.0000e+00
4.3212e-06,0.0000e+00,0.0000e+00
4.3585e-06,0.0000e+00,0.0000e+00
4.3960e-06,0.0000e+00,0.0000e+00
4.4339e-06,0.0000e+00,0.0000e+00
4.4722e-06,0.0000e+00,0.0000e+00
4.5107e-06,0.0000e+00,0.0000e+00
4.5496e-06,0.0000e+00,0.0000e+00
4.5888e-06,0.0000e+00,0.0000e+00
4.6284e-06,0.0000e+00,0.0000e+00
4.6683e-06,0.0000e+00,0.0000e+00
4.7085e-06,0.0000e+00,0.0000e+00
4.7491e-06,0.0000e+00,0.0000e+00
4.7900e-06,0.0000e+00,0.0000e+00
4.8313e-06,0.0000e+00,0.0000e+00
4.8730e-06,0.0000e+00,0.0000e+00
4.9150e-06,0.0000e+00,0.0000e+00
4.9573e-06,0.0000e+00,0.0000e+00
5.0001e-06,0.0000e+00,0.0000e+00
5.0432e-06,0.0000e+00,0.0000e+00
5.0866e-06,0.0000e+00,0.0000e+00
5.1305e-06,0.0000e+00,0.0000e+00
5.1747e-06,0.0000e+00,0.0000e+00
5.2193e-06,0.0000e+00,0.0000e+00
5.2643e-06,0.0000e+00,0.0000e+00
5.3097e-06,0.0000e+00,0.0000e+00
5.3554e-06,0.0000e+00,0.0000e+00
5.4016e-06,0.0000e+00,0.0000e+00
5.4482e-06,0.0000e+00,0.0000e+00
5.4951e-06,0.0000e+00,5.0017e+14
5.5425e-06,0.0000e+00,0.0000e+00
5.5903e-06,0.0000e+00,0.0000e+00
5.6385e-06,0.0000e+00,0.0000e+00
5.6871e-06,0.0000e+00,0.0000e+00
5.7361e-06,0.0000e+00,0.0000e+00
5.7855e-06,0.0000e+00,0.0000e+00
5.8354e-06,0.0000e+00,0.0000e+00
5.8857e-06,0.0000e+00,4.6698e+14
5.9364e-06,0.0000e+00,0.0000e+00
5.9876e-06,0.0000e+00,0.0000e+00
6.0392e-06,0.0000e+00,4.5511e+14
6.0913e-06,0.0000e+00,0.0000e+00
6.1438e-06,0.0000e+00,4.4736e+14
